Part Number,Use for,Capacitance,Tolerance,Size(inch/mm),Rated Vdc,TCC,T Size Max,Features
CL10A225KQ5LNN,General,2.2uF, +/-10%,0603/1608,6.3Vdc,X5R,0.5mm,Features Normal
CL10A225KQ8NNW,General,2.2uF, +/-10%,0603/1608,6.3Vdc,X5R,0.9mm,Features Normal
CL10A225MP8NNN,General,2.2uF, +/-20%,0603/1608,10Vdc,X5R,0.9mm,Features Normal
CL05A225MP5NNN,General,2.2uF, +/-20%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL05A225MP5NNW,General,2.2uF, +/-20%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL05A225KL5NUN,General,2.2uF, +/-10%,0402/1005,35Vdc,X5R,0.7mm,Features Normal
CL03A225MR3CSN,General,2.2uF, +/-20%,0201/0603,4Vdc,X5R,0.35mm,Features Normal
CL31B225MOHNNN,General,2.2uF, +/-20%,1206/3216,16Vdc,X7R,1.8mm,Features Normal
CL31A225KOHNNN,General,2.2uF, +/-10%,1206/3216,16Vdc,X5R,1.8mm,Features Normal
CL10A225KO8N3N,General,2.2uF, +/-10%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL10A225KQ8NNN,General,2.2uF, +/-10%,0603/1608,6.3Vdc,X5R,0.9mm,Features Normal
CL32B225KAULNW,General,2.2uF, +/-10%,1210/3225,25Vdc,X7R,2mm,Features Normal
CL05A225MR5NNW,General,2.2uF, +/-20%,0402/1005,4Vdc,X5R,0.55mm,Features Normal
CL05A225MQ3LRN,General,2.2uF, +/-20%,0402/1005,6.3Vdc,X5R,0.33mm,Features Normal
CL05A225MQ5NNW,General,2.2uF, +/-20%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A225KO5NQN,General,2.2uF, +/-10%,0402/1005,16Vdc,X5R,0.6mm,Features Normal
CL05A225KQ5NSN,General,2.2uF, +/-10%,0402/1005,6.3Vdc,X5R,0.57mm,Features Normal
CL31A225KOHNNW,General,2.2uF, +/-10%,1206/3216,16Vdc,X5R,1.8mm,Features Normal
CL03A225KP3NRN,General,2.2uF, +/-10%,0201/0603,10Vdc,X5R,0.39mm,Features Normal
CL10A225MO8NNN,General,2.2uF, +/-20%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL03A225MQ3IRN,General,2.2uF, +/-20%,0201/0603,6.3Vdc,X5R,0.39mm,Features Normal
CL05A225MA5NUN,General,2.2uF, +/-20%,0402/1005,25Vdc,X5R,0.7mm,Features Normal
CL05A225MO5NUN,General,2.2uF, +/-20%,0402/1005,16Vdc,X5R,0.7mm,Features Normal
CL31B225KPHNNW,General,2.2uF, +/-10%,1206/3216,10Vdc,X7R,1.8mm,Features Normal
CL10B225KP8NNN,General,2.2uF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL03A195MQ3DRN,General,1.9uF, +/-20%,0201/0603,6.3Vdc,X5R,0.39mm,Features Normal
CL31B155KAHNNW,General,1.5uF, +/-10%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL32B155KAULNW,General,1.5uF, +/-10%,1210/3225,25Vdc,X7R,2mm,Features Normal
CL31B155KOFNNN,General,1.5uF, +/-10%,1206/3216,16Vdc,X7R,1.4mm,Features Normal
CL05A155MR5NNW,General,1.5uF, +/-20%,0402/1005,4Vdc,X5R,0.55mm,Features Normal
CL31B155KOHNNW,General,1.5uF, +/-10%,1206/3216,16Vdc,X7R,1.8mm,Features Normal
CL31B155KOFNNW,General,1.5uF, +/-10%,1206/3216,16Vdc,X7R,1.4mm,Features Normal
CL31B125KPCNNW,General,1.2uF, +/-10%,1206/3216,10Vdc,X7R,1mm,Features Normal
CL31B125KPCNNN,General,1.2uF, +/-10%,1206/3216,10Vdc,X7R,1mm,Features Normal
CL10B105KB8ZQW,General,1uF, +/-10%,0603/1608,50Vdc,X7R,0.95mm,Features Normal
CL05A105KQ3LNW,General,1uF, +/-10%,0402/1005,6.3Vdc,X5R,0.33mm,Features Normal
CL05A105MO5NQW,General,1uF, +/-20%,0402/1005,16Vdc,X5R,0.6mm,Features Normal
CL31B105KBHNNN,General,1uF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL31B105KBHNNW,General,1uF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL31A105KOHNNW,General,1uF, +/-10%,1206/3216,16Vdc,X5R,1.8mm,Features Normal
CL10A105KO8NNW,General,1uF, +/-10%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL05A105KP5NNW,General,1uF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL10B105KA8NNW,General,1uF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL10A105MB8NNW,General,1uF, +/-20%,0603/1608,50Vdc,X5R,0.9mm,Features Normal
CL31F105ZOCNNN,General,1uF, -20/+80%,1206/3216,16Vdc,Y5V,1mm,Features Normal
CL03A105MQ3CRW,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.39mm,Features Normal
CL03A105MR3CSW,General,1uF, +/-20%,0201/0603,4Vdc,X5R,0.35mm,Features Normal
CL10B105KP8NNN,General,1uF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL10B105KP8NNW,General,1uF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL10A105KA8NNW,General,1uF, +/-10%,0603/1608,25Vdc,X5R,0.9mm,Features Normal
CL31B105KAHNNN,General,1uF, +/-10%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL31A105KAHNNW,General,1uF, +/-10%,1206/3216,25Vdc,X5R,1.8mm,Features Normal
CL32B105KAFNNW,General,1uF, +/-10%,1210/3225,25Vdc,X7R,1.45mm,Features Normal
CL10A105KP8NNW,General,1uF, +/-10%,0603/1608,10Vdc,X5R,0.9mm,Features Normal
CL10A105MB8NNN,General,1uF, +/-20%,0603/1608,50Vdc,X5R,0.9mm,Features Normal
CL10A105MO8NNN,General,1uF, +/-20%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL31B105KOFNNW,General,1uF, +/-10%,1206/3216,16Vdc,X7R,1.4mm,Features Normal
CL31B105KPKZNW,General,1uF, +/-10%,1206/3216,10Vdc,X7R,1.9mm,Features Normal
CL31B105KAHNFN,General,1uF, +/-10%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL05A105MQ5NNW,General,1uF, +/-20%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A105MR5NNW,General,1uF, +/-20%,0402/1005,4Vdc,X5R,0.55mm,Features Normal
CL05B105KQ5QNW,General,1uF, +/-10%,0402/1005,6.3Vdc,X7R,0.55mm,Features Normal
CL32F105ZBFNNN,General,1uF, -20/+80%,1210/3225,50Vdc,Y5V,1.45mm,Features Normal
CL03A105MQ3NSW,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL10B105KO8ZFN,General,1uF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10B105KP8N4N,General,1uF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL10B105KP8NFN,General,1uF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL31B105MAHNNN,General,1uF, +/-20%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL10A105KP8NNN,General,1uF, +/-10%,0603/1608,10Vdc,X5R,0.9mm,Features Normal
CL10A105KQ8NNN,General,1uF, +/-10%,0603/1608,6.3Vdc,X5R,0.9mm,Features Normal
CL10A105KQ8NNW,General,1uF, +/-10%,0603/1608,6.3Vdc,X5R,0.9mm,Features Normal
CL10A105MO8NNW,General,1uF, +/-20%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL03A105MO3IRN,General,1uF, +/-20%,0201/0603,16Vdc,X5R,0.39mm,Features Normal
CL03A105MP3NRN,General,1uF, +/-20%,0201/0603,10Vdc,X5R,0.39mm,Features Normal
CL03A105MP3NSN,General,1uF, +/-20%,0201/0603,10Vdc,X5R,0.35mm,Features Normal
CL03A105MQ3ISW,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL05A105KP5NQW,General,1uF, +/-10%,0402/1005,10Vdc,X5R,0.6mm,Features Normal
CL10B105KQ8NNW,General,1uF, +/-10%,0603/1608,6.3Vdc,X7R,0.9mm,Features Normal
CL10A105KL8NNW,General,1uF, +/-10%,0603/1608,35Vdc,X5R,0.9mm,Features Normal
CL10A105KB8NNW,General,1uF, +/-10%,0603/1608,50Vdc,X5R,0.9mm,Features Normal
CL32B105MBHNNN,General,1uF, +/-20%,1210/3225,50Vdc,X7R,1.8mm,Features Normal
CL32B105MBHNNW,General,1uF, +/-20%,1210/3225,50Vdc,X7R,1.8mm,Features Normal
CL31F105ZBFNNN,General,1uF, -20/+80%,1206/3216,50Vdc,Y5V,1.4mm,Features Normal
CL31B105KAPLNW,General,1uF, +/-10%,1206/3216,25Vdc,X7R,1.25mm,Features Normal
CL31B105KAHNNW,General,1uF, +/-10%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL10B105KQ8NNN,General,1uF, +/-10%,0603/1608,6.3Vdc,X7R,0.9mm,Features Normal
CL31B105KBHN4N,General,1uF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL31B105KBHNFN,General,1uF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL31A105KB9LNN,General,1uF, +/-10%,1206/3216,50Vdc,X5R,1mm,Features Normal
CL31B105KCHNNN,General,1uF, +/-10%,1206/3216,100Vdc,X7R,1.8mm,Features Normal
CL31B105KCHSNW,General,1uF, +/-10%,1206/3216,100Vdc,X7R,1.8mm,Features Normal
CL05A105KQ5NNN,General,1uF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A105KA5NQW,General,1uF, +/-10%,0402/1005,25Vdc,X5R,0.6mm,Features Normal
CL03A105MQ3DRN,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.39mm,Features Normal
CL03A105MQ3ISN,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL10B105KO8N4N,General,1uF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10B105KO8NNN,General,1uF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL32B105KCJZNW,General,1uF, +/-10%,1210/3225,100Vdc,X7R,2.7mm,Features Normal
CL31B105KCHNNW,General,1uF, +/-10%,1206/3216,100Vdc,X7R,1.8mm,Features Normal
CL31B105KOFNNN,General,1uF, +/-10%,1206/3216,16Vdc,X7R,1.4mm,Features Normal
CL05A105KQ3LNN,General,1uF, +/-10%,0402/1005,6.3Vdc,X5R,0.33mm,Features Normal
CL31B105MAHNNW,General,1uF, +/-20%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL31B105MCHNNN,General,1uF, +/-20%,1206/3216,100Vdc,X7R,1.8mm,Features Normal
CL10B105KO8NFN,General,1uF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10B105MO8NNW,General,1uF, +/-20%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL05A105KO5NNN,General,1uF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL05A105KO5QNW,General,1uF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL10A105KA8N4N,General,1uF, +/-10%,0603/1608,25Vdc,X5R,0.9mm,Features Normal
CL10A105KA8NNN,General,1uF, +/-10%,0603/1608,25Vdc,X5R,0.9mm,Features Normal
CL10B105KA8N4N,General,1uF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL10A105KO8N4N,General,1uF, +/-10%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL03A105KP3NSN,General,1uF, +/-10%,0201/0603,10Vdc,X5R,0.35mm,Features Normal
CL03A105MO3NRW,General,1uF, +/-20%,0201/0603,16Vdc,X5R,0.39mm,Features Normal
CL10A105KB8NNN,General,1uF, +/-10%,0603/1608,50Vdc,X5R,0.9mm,Features Normal
CL10A105KP8N4N,General,1uF, +/-10%,0603/1608,10Vdc,X5R,0.9mm,Features Normal
CL03A105MR3CSN,General,1uF, +/-20%,0201/0603,4Vdc,X5R,0.35mm,Features Normal
CL05A105KO5NNW,General,1uF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL05A105KO5NQW,General,1uF, +/-10%,0402/1005,16Vdc,X5R,0.6mm,Features Normal
CL10B105KB8NQN,General,1uF, +/-10%,0603/1608,50Vdc,X7R,0.95mm,Features Normal
CL05A105JQ5NNN,General,1uF, +/-5%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A105KL5NRN,General,1uF, +/-10%,0402/1005,35Vdc,X5R,0.65mm,Features Normal
CL05A105KP5NNN,General,1uF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL05B105KQ5NQW,General,1uF, +/-10%,0402/1005,6.3Vdc,X7R,0.6mm,Features Normal
CL05B105KR5QNW,General,1uF, +/-10%,0402/1005,4Vdc,X7R,0.55mm,Features Normal
CL31B105KAPLNN,General,1uF, +/-10%,1206/3216,25Vdc,X7R,1.25mm,Features Normal
CL32B105KBJNNW,General,1uF, +/-10%,1210/3225,50Vdc,X7R,2.7mm,Features Normal
CL32B105KCJSNW,General,1uF, +/-10%,1210/3225,100Vdc,X7R,2.7mm,Features Normal
CL03A105KQ3CSW,General,1uF, +/-10%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL32B105KAFNNN,General,1uF, +/-10%,1210/3225,25Vdc,X7R,1.45mm,Features Normal
CL05A105MQ5NNN,General,1uF, +/-20%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL10B105KA8NFN,General,1uF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL31B105KBHSNN,General,1uF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL32A105MBJNNW,General,1uF, +/-20%,1210/3225,50Vdc,X5R,2.7mm,Features Normal
CL31A105KPHNNW,General,1uF, +/-10%,1206/3216,10Vdc,X5R,1.8mm,Features Normal
CL03A105MQ3NSN,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL05A105KP5NFN,General,1uF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL10B105KO8NNW,General,1uF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10B105KO8SFN,General,1uF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL05A105KA5NNN,General,1uF, +/-10%,0402/1005,25Vdc,X5R,0.55mm,Features Normal
CL05A105KA5NNW,General,1uF, +/-10%,0402/1005,25Vdc,X5R,0.55mm,Features Normal
CL32B105KBHNNW,General,1uF, +/-10%,1210/3225,50Vdc,X7R,1.8mm,Features Normal
CL05A105JQ5NNW,General,1uF, +/-5%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A105KA5NFQ,General,1uF, +/-10%,0402/1005,25Vdc,X5R,0.6mm,Features Normal
CL05A105KA5NQN,General,1uF, +/-10%,0402/1005,25Vdc,X5R,0.6mm,Features Normal
CL05A105KL5NRW,General,1uF, +/-10%,0402/1005,35Vdc,X5R,0.65mm,Features Normal
CL05A105KO5NFN,General,1uF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL05F105ZQ5NNN,General,1uF, -20/+80%,0402/1005,6.3Vdc,Y5V,0.55mm,Features Normal
CL32B105KBHNNN,General,1uF, +/-10%,1210/3225,50Vdc,X7R,1.8mm,Features Normal
CL31B105KCHSNN,General,1uF, +/-10%,1206/3216,100Vdc,X7R,1.8mm,Features Normal
CL31B105KOFNFN,General,1uF, +/-10%,1206/3216,16Vdc,X7R,1.4mm,Features Normal
CL31F105ZACNNN,General,1uF, -20/+80%,1206/3216,25Vdc,Y5V,1mm,Features Normal
CL10A105KO8NNN,General,1uF, +/-10%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL03A105MQ3CSW,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL10A105KA8NFN,General,1uF, +/-10%,0603/1608,25Vdc,X5R,0.9mm,Features Normal
CL10B105KA8ZFN,General,1uF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL05A105KQ5NNW,General,1uF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A105KA5CQN,General,1uF, +/-10%,0402/1005,25Vdc,X5R,0.6mm,Features Normal
CL31B105MOFNNN,General,1uF, +/-20%,1206/3216,16Vdc,X7R,1.4mm,Features Normal
CL31B105MOFNNW,General,1uF, +/-20%,1206/3216,16Vdc,X7R,1.4mm,Features Normal
CL03A105MQ3CSN,General,1uF, +/-20%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL31B105JAHNNN,General,1uF, +/-5%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL31B105JAHNNW,General,1uF, +/-5%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL31A105KB9LNW,General,1uF, +/-10%,1206/3216,50Vdc,X5R,1mm,Features Normal
CL31B105KCHNFN,General,1uF, +/-10%,1206/3216,100Vdc,X7R,1.8mm,Features Normal
CL32B105KCJNNW,General,1uF, +/-10%,1210/3225,100Vdc,X7R,2.7mm,Features Normal
CL32B105KCJSNN,General,1uF, +/-10%,1210/3225,100Vdc,X7R,2.7mm,Features Normal
CL10B105KA8NNN,General,1uF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL32B105KCJNNN,General,1uF, +/-10%,1210/3225,100Vdc,X7R,2.7mm,Features Normal
CL05B105KQ5NQN,General,1uF, +/-10%,0402/1005,6.3Vdc,X7R,0.6mm,Features Normal
CL03A105KQ3CSN,General,1uF, +/-10%,0201/0603,6.3Vdc,X5R,0.35mm,Features Normal
CL03A105MO3NRN,General,1uF, +/-20%,0201/0603,16Vdc,X5R,0.39mm,Features Normal
CL03A105MP3ISN,General,1uF, +/-20%,0201/0603,10Vdc,X5R,0.35mm,Features Normal
CL10A105KL8NNN,General,1uF, +/-10%,0603/1608,35Vdc,X5R,0.9mm,Features Normal
CL10B684KO8NNW,General,680nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL31A684KOHNNW,General,680nF, +/-10%,1206/3216,16Vdc,X5R,1.8mm,Features Normal
CL31B684KAHNNN,General,680nF, +/-10%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL31B684KAHNNW,General,680nF, +/-10%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL10A684KA8NNW,General,680nF, +/-10%,0603/1608,25Vdc,X5R,0.9mm,Features Normal
CL10B684KQ8NNN,General,680nF, +/-10%,0603/1608,6.3Vdc,X7R,0.9mm,Features Normal
CL31B684KOHNNW,General,680nF, +/-10%,1206/3216,16Vdc,X7R,1.8mm,Features Normal
CL10B684KO8NFN,General,680nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10A684KP8NNW,General,680nF, +/-10%,0603/1608,10Vdc,X5R,0.9mm,Features Normal
CL31B684KBHNNW,General,680nF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL31B684KOCNNN,General,680nF, +/-10%,1206/3216,16Vdc,X7R,1mm,Features Normal
CL10A684KO8NNW,General,680nF, +/-10%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL32B684KBIZNW,General,680nF, +/-10%,1210/3225,50Vdc,X7R,2.2mm,Features Normal
CL05A684KQ5NNW,General,680nF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL10A684KQ8NNW,General,680nF, +/-10%,0603/1608,6.3Vdc,X5R,0.9mm,Features Normal
CL31B684KOCNNW,General,680nF, +/-10%,1206/3216,16Vdc,X7R,1mm,Features Normal
CL05A684KP5NNW,General,680nF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL10B684KP8NNW,General,680nF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL05A684MR5NNW,General,680nF, +/-20%,0402/1005,4Vdc,X5R,0.55mm,Features Normal
CL10B684KQ8NNW,General,680nF, +/-10%,0603/1608,6.3Vdc,X7R,0.9mm,Features Normal
CL10B474KP8NNN,General,470nF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL10A474KO8NNN,General,470nF, +/-10%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL31B474KAHNNW,General,470nF, +/-10%,1206/3216,25Vdc,X7R,1.8mm,Features Normal
CL31B474KOCNNW,General,470nF, +/-10%,1206/3216,16Vdc,X7R,1mm,Features Normal
CL03A474KQ3NNW,General,470nF, +/-10%,0201/0603,6.3Vdc,X5R,0.33mm,Features Normal
CL03A474KQ3ZNN,General,470nF, +/-10%,0201/0603,6.3Vdc,X5R,0.33mm,Features Normal
CL03A474MQ3NNN,General,470nF, +/-20%,0201/0603,6.3Vdc,X5R,0.33mm,Features Normal
CL03A474MQ3NNW,General,470nF, +/-20%,0201/0603,6.3Vdc,X5R,0.33mm,Features Normal
CL31B474KBHNNN,General,470nF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL10B474KP8NNW,General,470nF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL10A474KA8NNN,General,470nF, +/-10%,0603/1608,25Vdc,X5R,0.9mm,Features Normal
CL05A474KQ5NNW,General,470nF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A474KO5NNN,General,470nF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL10A474KO8NNW,General,470nF, +/-10%,0603/1608,16Vdc,X5R,0.9mm,Features Normal
CL05B474KP5NNW,General,470nF, +/-10%,0402/1005,10Vdc,X7R,0.55mm,Features Normal
CL05B474KP5ZNW,General,470nF, +/-10%,0402/1005,10Vdc,X7R,0.55mm,Features Normal
CL32B474KBFNNW,General,470nF, +/-10%,1210/3225,50Vdc,X7R,1.45mm,Features Normal
CL05A474KP5NNW,General,470nF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL03A474KP3NNN,General,470nF, +/-10%,0201/0603,10Vdc,X5R,0.33mm,Features Normal
CL32B474KBFNNN,General,470nF, +/-10%,1210/3225,50Vdc,X7R,1.45mm,Features Normal
CL10B474KB8ZNW,General,470nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31B474KOCNNN,General,470nF, +/-10%,1206/3216,16Vdc,X7R,1mm,Features Normal
CL31B474MBHNNN,General,470nF, +/-20%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL03A474KQ3NNN,General,470nF, +/-10%,0201/0603,6.3Vdc,X5R,0.33mm,Features Normal
CL05B474MP5ZNW,General,470nF, +/-20%,0402/1005,10Vdc,X7R,0.55mm,Features Normal
CL10A474KA8NNW,General,470nF, +/-10%,0603/1608,25Vdc,X5R,0.9mm,Features Normal
CL31B474KBHNNW,General,470nF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL05A474KP5NNN,General,470nF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL31B474KCHSNW,General,470nF, +/-10%,1206/3216,100Vdc,X7R,1.8mm,Features Normal
CL05A474KA5NNN,General,470nF, +/-10%,0402/1005,25Vdc,X5R,0.55mm,Features Normal
CL10F474ZA8NNN,General,470nF, -20/+80%,0603/1608,25Vdc,Y5V,0.9mm,Features Normal
CL10B474KQ8NNN,General,470nF, +/-10%,0603/1608,6.3Vdc,X7R,0.9mm,Features Normal
CL05B474KP5NNN,General,470nF, +/-10%,0402/1005,10Vdc,X7R,0.55mm,Features Normal
CL31B474MBHNNW,General,470nF, +/-20%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL05F474ZP5NNN,General,470nF, -20/+80%,0402/1005,10Vdc,Y5V,0.55mm,Features Normal
CL10B474KA8NNW,General,470nF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL10B474KO8SNN,General,470nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10B474KO8NNW,General,470nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10A474KP8NNW,General,470nF, +/-10%,0603/1608,10Vdc,X5R,0.9mm,Features Normal
CL05B474KQ5NNN,General,470nF, +/-10%,0402/1005,6.3Vdc,X7R,0.55mm,Features Normal
CL05B474KQ5ZNW,General,470nF, +/-10%,0402/1005,6.3Vdc,X7R,0.55mm,Features Normal
CL10B474KO8NNN,General,470nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10A474KQ8NNW,General,470nF, +/-10%,0603/1608,6.3Vdc,X5R,0.9mm,Features Normal
CL05A474KA5NNW,General,470nF, +/-10%,0402/1005,25Vdc,X5R,0.55mm,Features Normal
CL10B474KQ8NNW,General,470nF, +/-10%,0603/1608,6.3Vdc,X7R,0.9mm,Features Normal
CL31B474KBHNFN,General,470nF, +/-10%,1206/3216,50Vdc,X7R,1.8mm,Features Normal
CL10A474KB8NNN,General,470nF, +/-10%,0603/1608,50Vdc,X5R,0.9mm,Features Normal
CL10A474KB8NNW,General,470nF, +/-10%,0603/1608,50Vdc,X5R,0.9mm,Features Normal
CL31B474KOHNNW,General,470nF, +/-10%,1206/3216,16Vdc,X7R,1.8mm,Features Normal
CL32B474KBIZNW,General,470nF, +/-10%,1210/3225,50Vdc,X7R,2.2mm,Features Normal
CL31F474ZBCNNN,General,470nF, -20/+80%,1206/3216,50Vdc,Y5V,1mm,Features Normal
CL05A474KQ5NNN,General,470nF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A474KO5NNW,General,470nF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL10B474KA8NFN,General,470nF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL10B474KL8ZNW,General,470nF, +/-10%,0603/1608,35Vdc,X7R,0.9mm,Features Normal
CL10B474KO8NFN,General,470nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL10B474KA8NNN,General,470nF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL10B474KA8SNN,General,470nF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL10F334ZO8NNN,General,330nF, -20/+80%,0603/1608,16Vdc,Y5V,0.9mm,Features Normal
CL05A334KM5NQN,General,330nF, +/-10%,0402/1005,63Vdc,X5R,0.6mm,Features Normal
CL03A334KL3NRN,General,330nF, +/-10%,0201/0603,35Vdc,X5R,0.39mm,Features Normal
CL10B334KO8NNW,General,330nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL05A334MQ5NNN,General,330nF, +/-20%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A334KA5NNN,General,330nF, +/-10%,0402/1005,25Vdc,X5R,0.55mm,Features Normal
CL05A334KB5NQN,General,330nF, +/-10%,0402/1005,50Vdc,X5R,0.6mm,Features Normal
CL05A334KL5NQN,General,330nF, +/-10%,0402/1005,35Vdc,X5R,0.6mm,Features Normal
CL05A334KQ5NNW,General,330nF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL31B334KACNNN,General,330nF, +/-10%,1206/3216,25Vdc,X7R,1mm,Features Normal
CL31B334KACNNW,General,330nF, +/-10%,1206/3216,25Vdc,X7R,1mm,Features Normal
CL31B334KBFNNN,General,330nF, +/-10%,1206/3216,50Vdc,X7R,1.4mm,Features Normal
